name,address,city,province,postalCode,zipcode,latitude,longitude
Chipotle Mexican Grill,4111 Oceanside Blvd,Oceanside,CA,92056,92056,33.205722,-117.288645
Chipotle Mexican Grill,9175 De Soto Ave,Chatsworth,CA,91311,91311,34.23765,-118.58919
Chipotle Mexican Grill,1451 Quentin Rd,Lebanon,PA,17042,17042,40.31787,-76.42396
Chipotle Mexican Grill,1960 E Dublin Granville Rd,Columbus,OH,43229,43229,40.0875,-82.9655
Chipotle Mexican Grill,5642 Allen Way,Castle Rock,CO,80104,80104,39.41439,-104.86394
Chipotle Mexican Grill,3471 Steelyard Dr,Cleveland,OH,44109,44109,41.459991,-81.690308
Chipotle Mexican Grill,1081 Pine Plaza Dr,Apex,NC,27523,27523,35.749596,-78.8316
Chipotle Mexican Grill,81 E State Rt 4,Paramus,NJ,7652,,40.919301,-74.064901
Chipotle Mexican Grill,4000 W 6th St,Lawrence,KS,66049,66049,38.972531,-95.289264
Chipotle Mexican Grill,215 N Broadway,Hicksville,NY,11801,11801,40.774262,-73.527633
Chipotle Mexican Grill,246 S Lake Ave,Pasadena,CA,91101,91101,34.141612,-118.132046
Chipotle Mexican Grill,1441 S Randall Rd,Geneva,IL,60134,60134,41.874623,-88.339836
Chipotle Mexican Grill,6081 Capital Blvd,Raleigh,NC,27616,27616,35.86807,-78.582581
Chipotle,1644 E Evans Ave,Denver,CO,80210,80210,39.678506,-104.967815
Chipotle Mexican Grill,92 Derby St,Hingham,MA,2043,,42.180344,-70.9066
Chipotle Mexican Grill,4315 W Lake Mary Blvd,Lake Mary,FL,32746,32746,28.755684,-81.35077
Chipotle Mexican Grill,601 King St,Alexandria,VA,22314,22314,38.80491841,-77.04584241
Chipotle Mexican Grill,2805 N Scottsdale Rd,Scottsdale,AZ,85257,85257,33.47951,-111.92597
Chipotle Mexican Grill,9010 E Indian Bend Rd,Scottsdale,AZ,85250,85250,33.53876,-111.88778
Chipotle Mexican Grill,165 Alps Rd,Athens,GA,30606,30606,33.9473,-83.4091
Chipotle Mexican Grill,2733 Papermill Rd,Reading,PA,19610,19610,40.31449,-76.024086
Chipotle Mexican Grill,1115 NE Coronado Dr,Blue Springs,MO,64014,64014,39.02578,-94.24824
Chipotle Mexican Grill,1751 N 1st St,San Jose,CA,95112,95112,37.37055,-121.91691
Chipotle Mexican Grill,1 N Central Ave,Saint Louis,MO,63105,63105,38.65024,-90.33827
Chipotle Mexican Grill,525 Market St,San Francisco,CA,94104,94104,37.790607,-122.39918
Chipotle Mexican Grill,51 Boston Wharf Rd,Boston,MA,2210,02210,42.35067,-71.04644
Chipotle Mexican Grill,5550 W Wilshire Blvd,Los Angeles,CA,90036,90036,34.062241,-118.349428
Chipotle Mexican Grill,1556A Butterfield Rd,Downers Grove,IL,60515,60515,41.83511758,-88.02535763
Chipotle Mexican Grill,10905 Louetta Rd,Houston,TX,77070,77070,29.996244,-95.57678
Chipotle Mexican Grill,4901 W Park Blvd,Plano,TX,75093,75093,33.027523,-96.792435
Chipotle Mexican Grill,140 Steele St,Denver,CO,80206,80206,39.71852,-104.94982
Chipotle Mexican Grill,2963 N Druid Hills Rd NE,Atlanta,GA,30329,30329,33.8146,-84.3101
Chipotle Mexican Grill,575 Grand Ave,San Marcos,CA,92078,92078,33.13705,-117.17634
Chipotle Mexican Grill,10671 Innovation Dr,Miamisburg,OH,45342,45342,39.59723846,-84.2314274
