name,address,city,province,postalCode,zipcode,latitude,longitude
Five Guys,1433 SW 107th Ave,Miami,FL,33174,33174,25.754984,-80.368058
Five Guys,7268 W Atlantic Blvd,Pompano Beach,FL,33063,33063,26.235329,-80.222917
Five Guys,10940 Lee Highway,Fairfax,VA,22030,22030,38.853833,-77.321556
Five Guys,3124 Kathleen Ave,Greensboro,NC,27408,27408,36.085655,-79.832321
Five Guys,1030 Main St,Waltham,MA,2451,02451,42.375888,-71.252606
Five Guys,13020 Livingston Rd,Naples,FL,34105,34105,26.208926,-81.750894
Five Guys,16398 B Consumer Way,King George,VA,22485,22485,38.349644,-77.055747
Five Guys,690 3rd Avenue,New York,NY,10017,10017,40.751656,-73.973905
Five Guys,2 Metrotech Center,Brooklyn,NY,11201,11201,40.693702,-73.98568
Five Guys,4234 Electric Road,Roanoke,VA,24018,24018,37.229535,-79.978754
Five Guys,4220 Route 9 S,Howell,NJ,7731,,40.15035,-74.22705
Five Guys,2900 Golf Rd,Delafield,WI,53018,53018,43.0533,-88.3716
Five Guys,13350 Dallas Parkway,Dallas,TX,75240,75240,32.928467,-96.82028
Five Guys,158 Everett Ave,Chelsea,MA,2150,02150,42.39409,-71.042404
Five Guys,121 S Minnesota Ave,Sioux Falls,SD,57104,57104,43.5464,-96.7315
Five Guys,13286 Biscayne Blvd,Miami,FL,33181,33181,25.8978,-80.1622
Five Guys,61 Crystal Ave,Derry,NH,3038,03038,42.89325895,-71.32671833
Five Guys,136 Lantana Dr,Hockessin,DE,19707,19707,39.774677,-75.7113
Five Guys,1146 S Wabash Ave,Chicago,IL,60605,60605,41.867953,-87.626338
Five Guys Burgers And Fries,1855 29th St,Boulder,CO,80301,80301,40.019337,-105.25653
Five Guys,1310 W Osceola Parkway,Kissimmee,FL,34741,34741,28.341604,-81.418144
Five Guys Burgers Fries,4334 E Owen K Garriott Rd,Enid,OK,73701,73701,36.39761,-97.8159
Five Guys,602 New Loudon Rd,Latham,NY,12110,12110,42.72841371,-73.76069372
Five Guys,7005 Sw Nyberg Rd,Tualatin,OR,97062,97062,45.38301771,-122.7480537
