name,address,city,province,postalCode,zipcode,latitude,longitude
Panda Express,2930 Gulf Fwy S,League City,TX,77573,77573,29.468446,-95.092203
Panda Express,7554 Mccart Ave,Fort Worth,TX,76133,76133,32.633972,-97.369888
Panda Express,9319 Highway 6 S,Houston,TX,77083,77083,29.677586,-95.642733
Panda Express,4390 Dfw Tpke,Dallas,TX,75211,75211,32.891535,-97.042423
Panda Express,500 Canyon Ridge Dr,Austin,TX,78753,78753,30.403622,-97.672028
Panda Express,500 Canyon Ridge Dr,Austin,TX,78753,78753,30.403622,-97.672028
Panda Express,2501 W Parmer Ln,Austin,TX,78727,78727,30.418152,-97.702115
Panda Express,1408 Mercantile Ave NE,Albuquerque,NM,87107,87107,35.135091,-106.611527
Panda Express,500 N Guadalupe St,Santa Fe,NM,87501,87501,35.692564,-105.947814
Panda Express,11153 S Parker Rd,Parker,CO,80134,80134,39.511715,-104.765372
Panda Express,180 S Union Blvd,Denver,CO,80228,80228,39.712137,-105.132908
Panda Express,180 S Union Blvd,Denver,CO,80228,80228,39.712137,-105.132908
Panda Express,6534 Platt Ave,West Hills,CA,91307,91307,34.189144,-118.64134
Panda Express,5752 Lindero Canyon Rd,Thousand Oaks,CA,91362,91362,34.153938,-118.796949
Panda Express,14445 Burbank Blvd,Van Nuys,CA,91401,91401,34.172107,-118.447705
Panda Express,3737 Pacific Coast Hwy,Torrance,CA,90505,90505,33.804998,-118.350671
Panda Express,1050 El Camino Real,Belmont,CA,94002,94002,37.519866,-122.275381
Panda Express,13307 NE Highway 99,Vancouver,WA,98665,98665,45.717233,-122.652003
Panda Express,865 Market St,San Francisco,CA,94103,94103,37.784791,-122.407185
Panda Express,1630 Gateway Blvd,Fairfield,CA,94533,94533,38.259836,-122.057588
Panda Express,5353 Katella Ave,Los Alamitos,CA,90720,90720,33.80307,-118.040459
Panda Express,904 Hamilton Rd,Duarte,CA,91010,91010,34.133233,-117.986238
Panda Express,904 Hamilton Rd,Duarte,CA,91010,91010,34.133233,-117.986238
Panda Express,6851 Amador Plaza Rd,Dublin,CA,94568,94568,37.704737,-121.92742
Panda Express,441 Magnolia Ave,Corona,CA,92879,92879,33.853749,-117.563023
Panda Express,2560 El Camino Real,Carlsbad,CA,92008,92008,33.179954,-117.325159
Panda Express,2234 Lincoln Ave,Altadena,CA,91001,91001,34.184154,-118.15968
Panda Express,6370 E Golf Links Rd,Tucson,AZ,85730,85730,32.191395,-110.856216
Panda Express,6630 N Durango Dr,Las Vegas,NV,89149,89149,36.281264,-115.287687
Panda Express,1735 W Craig Rd,North Las Vegas,NV,89032,89032,36.23897,-115.167099
Panda Express,7470 Las Vegas Blvd S,Las Vegas,NV,89123,89123,36.053819,-115.1722
Panda Express,2288 S Nellis Blvd,Las Vegas,NV,89104,89104,36.147108,-115.065314
Panda Express,7017 Spring Mountain Rd,Las Vegas,NV,89117,89117,36.125687,-115.246542
Panda Express,1980 S Rainbow Blvd,Las Vegas,NV,89146,89146,36.149817,-115.24243
Panda Express,1623 Main St,Agawam,MA,1001,,42.041006,-72.616314
Panda Express,7351 Assateague Dr,Jessup,MD,20794,20794,39.168455,-76.785828
Panda Express,7351 Assateague Dr,Jessup,MD,20794,20794,39.168455,-76.785828
Panda Express,800 Boylston St,Boston,MA,2199,,42.348883,-71.081814
Panda Express,1155 Saint Louis Galleria,Saint Louis,MO,63117,63117,38.634958,-90.348097
Panda Express,5347 N Blackstone Ave,Fresno,CA,93710,93710,36.814613,-119.790654
Panda Express,2192 148th Ave NE,Redmond,WA,98052,98052,47.629845,-122.142962
Panda Express,8366 Westheimer Rd,Houston,TX,77063,77063,29.737949,-95.512861
Panda Express,6925 S Rainbow Blvd,Las Vegas,NV,89118,89118,36.062856,-115.243028
Panda Express,7610 Cypress Creek Pkwy,Houston,TX,77070,77070,29.964818,-95.542549
Panda Express,716 Seneca Rd,Eugene,OR,97402,97402,44.051655,-123.141106
Panda Express,2552 Eldridge Pkwy,Houston,TX,77082,77082,29.734484,-95.624289
Panda Express,2120 E Florence Ave,Huntington Park,CA,90255,90255,33.974048,-118.223805
Panda Express,1822 Crenshaw Cir,Vernon Hills,IL,60061,60061,42.25595486,-87.94828747
Panda Express,1380 Ernest W Barrett Pkwy NW,Kennesaw,GA,30152,30152,33.996293,-84.590327
Panda Express,4203 W 41st St,Sioux Falls,SD,57106,57106,43.51472,-96.77734
Panda Express,4203 W 41st St,Sioux Falls,SD,57106,57106,43.51472,-96.77734
Panda Express,21001 N Tatum Blvd,Phoenix,AZ,85050,85050,33.6754,-111.97349
Panda Express,129 Los Cerritos Mall,Cerritos,CA,90703,90703,33.86382,-118.09326
Panda Express,20783 N 83rd Ave,Peoria,AZ,85382,85382,33.672257,-112.239844
Panda Express Innovation Kitchen,3867 E Foothill Blvd,Pasadena,CA,91107,91107,34.15015,-118.077237
Panda Express,8750 W Flagler St,Miami,FL,33174,33174,25.768848,-80.338084
Panda Express,804 Montana Ave,Santa Monica,CA,90403,90403,34.027588,-118.50052
Panda Express,804 Montana Ave,Santa Monica,CA,90403,90403,34.027588,-118.50052
Panda Express,5280 SE Loop 286,Paris,TX,75460,75460,33.65895,-95.50896
Panda Express,395 E Plumb Ln,Reno,NV,89502,89502,39.506,-119.7986
Panda Express,2919 Los Feliz Blvd,Los Angeles,CA,90039,90039,34.126602,-118.263466
Panda Express,11490 SW Canyon Rd,Beaverton,OR,97005,97005,45.48972917,-122.794934
