name,address,city,province,postalCode,zipcode,latitude,longitude
Panera Bread,62 Merchants Row,Williston,VT,5495,05495,44.445321,-73.112312
Panera Bread,600 Union Street,Westborough,MA,1581,01581,42.270862,-71.60936
Panera Bread,601 Memorial Drive,Chicopee,MA,1020,01020,42.174626,-72.575755
Panera Bread,5004 2nd Avenue,Kearney,NE,68847,68847,40.72351,-99.084545
Panera Bread,4804 S Baldwin Road,Lake Orion,MI,48359,48359,42.710346,-83.307898
Panera Bread,4625 West William Cannon Road,Austin,TX,78749,78749,30.22325,-97.844193
Panera Bread,2829 West End Ave,Nashville,TN,37203,37203,36.144075,-86.813383
Panera Bread,2610 N Franklin Street,Christiansburg,VA,24073,24073,37.167113,-80.423093
Panera Bread,2375 Merrick Road,Bellmore,NY,11710,11710,40.661712,-73.537962
Panera Bread,2330 Elida Road,Lima,OH,45805,45805,40.763049,-84.148165
Panera Bread,215 10th Street,Des Moines,IA,50309,50309,41.584714,-93.629069
Panera Bread,802 North Berkeley Boulevard,Goldsboro,NC,27534,27534,35.376584,-77.939256
Panera Bread,1000 Blythe Blvd,Charlotte,NC,28203,28203,35.203697,-80.838367
Panera Bread,7049 Highway 6,Houston,TX,77095,77095,29.879823,-95.646706
Panera Bread,1391 N Bridge St,Chillicothe,OH,45601,45601,39.363097,-82.975438
Panera Bread,37091 6 Mile Road,Livonia,MI,48152,48152,42.409455,-83.410277
Panera Bread,4179 Tamiami Trail South,Venice,FL,34293,34293,27.0507,-82.39353
Panera Bread,400 W Market St,Louisville,KY,40202,40202,38.254615,-85.75756
Panera Bread,380 Palladio Pkwy Suite 301,Folsom,CA,95630,95630,38.651476,-121.119795
Panera Bread,43 Church Street,Burlington,VT,5401,,44.479074,-73.212956
Panera Bread,3401 West Genesee Street,Syracuse,NY,13219,13219,43.048106,-76.229913
Panera Bread,3175 West Broadway Blvd,Sedalia,MO,65301,65301,38.709172,-93.268478
Panera Bread,2650 Airline Drive,Bossier City,LA,71111,71111,32.552515,-93.709095
Panera Bread,73075 Highway 111,Palm Desert,CA,92260,92260,33.72111,-116.390081
Panera Bread,6658 Airport Highway,Holland,OH,43528,43528,41.612879,-83.701114
Panera Bread,635 Merrill Road,Pittsfield,MA,1201,01201,42.465182,-73.206932
Panera Bread,1781 Dunlawton Avenue,Port Orange,FL,32127,32127,29.10818,-81.027434
Panera Bread,5630 Washington Avenue,Racine,WI,53406,53406,42.721456,-87.848858
Panera Bread,2095 North Calhoun Road,Brookfield,WI,53005,53005,43.058145,-88.127794
Panera Bread,7115 West Central Avenue,Toledo,OH,43617,43617,41.672819,-83.713499
Panera Bread,401 NE Northgate Way,Seattle,WA,98125,98125,47.707015,-122.326158
Panera Bread,669 Hillside Avenue,New Hyde Park,NY,11040,11040,40.742273,-73.69837
Panera Bread,8510 East 96th Street Suite A,Fishers,IN,46038,46038,39.927862,-86.018433
Panera Bread,2001 East Greyhound Pass Suite 4E,Carmel,IN,46033,46033,40.002702,-86.124006
Panera Bread,5606 Lakewood Towne Center Boulevard SW,Lakewood,WA,98499,98499,47.164901,-122.510451
Panera Bread,417 Market St,Chattanooga,TN,37402,37402,35.051676,-85.310041
Panera Bread,1902 West Jackson Ave,Oxford,MS,38655,38655,34.363987,-89.555829
Panera Bread,815 North Westover Blvd,Albany,GA,31707,31707,31.618978,-84.22167
Panera Bread,4763 Highway 90,Milton,FL,32571,32571,30.60279,-87.124468
Panera Bread,13000 Shelbyville Rd,Louisville,KY,40243,40243,38.242329,-85.514036
Panera Bread,1640 Camino Del Rio N,San Diego,CA,92108,92108,32.769137,-117.147248
Panera Bread,737 First Colonial Blvd,Virginia Beach,VA,23451,23451,36.851544,-76.024951
Panera Bread,1412 Greenbrier Parkway,Chesapeake,VA,23320,23320,36.776409,-76.230995
Panera Bread,9200 Stony Point Parkway Suite 158D,Richmond,VA,23235,23235,37.549356,-77.5722
Panera Bread,3510 Tyler St,Riverside,CA,92503,92503,33.907255,-117.458349
Panera Bread,2400 Penny Road,High Point,NC,27265,27265,36.03533,-79.964893
Panera Bread,2645 Lawndale Drive,Greensboro,NC,27408,27408,36.102797,-79.819705
Panera Bread,5663 East Circle Drive,Cicero,NY,13039,13039,43.150471,-76.123544
Panera Bread,52 March Avenue,Manchester,NH,3103,03103,42.961559,-71.441431
Panera Bread,10751 Westview Parkway,San Diego,CA,92126,92126,32.916333,-117.118271
Panera Bread,3625 Fishinger Boulevard,Hilliard,OH,43026,43026,40.028743,-83.117536
Panera Bread,8191 Strawberry Lane Suite A,Falls Church,VA,22042,22042,38.871776,-77.227668
Panera Bread,501 East Hamilton Avenue,Campbell,CA,95008,95008,37.294784,-121.940413
Panera Bread,2407 Green Mountain Drive,Branson,MO,65616,65616,36.638496,-93.2646
Panera Bread,20437 State Road 7,Boca Raton,FL,33498,33498,26.369893,-80.206316
Panera Bread,4000 Chapel View Boulevard,Cranston,RI,2920,,41.75617,-71.458551
Panera Bread,2515 White Bear Avenue North,Saint Paul,MN,55109,55109,45.017383,-93.02162
Panera Bread,1775 Radio Drive,Saint Paul,MN,55125,55125,44.92293,-92.933346
Panera Bread,20807 Stevens Creek Boulevard,Cupertino,CA,95014,95014,37.323206,-122.038032
Panera Bread,1410 N Eisenhower Dr,Beckley,WV,25801,25801,37.805164,-81.182849
Panera Bread,3709 South Providence Road,Columbia,MO,65203,65203,38.909433,-92.335761
Panera Bread,999 E Basse Rd,San Antonio,TX,78209,78209,29.49797,-98.4686
Panera Bread,1853 2nd St,Highland Park,IL,60035,60035,42.18626,-87.80129
Panera Bread,1853 2nd St,Highland Park,IL,60035,60035,42.18626,-87.80129
Panera Bread,9970 University Plaza Dr,Fort Myers,FL,33913,33913,26.49206,-81.78898
Panera Bread,6059 N Lincoln Ave,Chicago,IL,60659,60659,41.99301,-87.71134
Panera Bread,1064 US Highway 9,Parlin,NJ,8859,08859,40.458702,-74.30498
Panera Bread,100 Consumer Square,Plattsburgh,NY,12901,12901,44.695253,-73.486899
Panera Bread,970 Second Street NE,Hickory,NC,28601,28601,35.746576,-81.334729
Panera Bread,96 White Bridge Road Suite 105,Nashville,TN,37205,37205,36.129514,-86.853312
Panera Bread,85 Worthington Mall,Columbus,OH,43085,43085,40.108417,-83.019319
Panera Bread,2420 S 31st St,Temple,TX,76504,76504,31.0768,-97.3673
Panera Bread,2420 S 31st St,Temple,TX,76504,76504,31.0768,-97.3673
Panera Bread,181 Creekside Xing,New Braunfels,TX,78130,78130,29.72692,-98.07574
Panera Bread,2249 S Shore Ctr,Alameda,CA,94501,94501,37.75601,-122.25125
Panera Bread,8120 W Irlo Bronson Memorial Hwy,Kissimmee,FL,34747,34747,28.34636,-81.61073
