name,address,city,province,postalCode,zipcode,latitude,longitude
Chipotle Mexican Grill,3455 N Salida Court,Aurora,CO,80011,80011,39.76369,-104.77671
Chipotle Mexican Grill,1031 Montgomery Hwy Ste 111,Birmingham,AL,35216,35216,33.439,-86.78873
Chipotle Mexican Grill,4719 Highway 280,Birmingham,AL,35242,35242,33.42237,-86.69893
Chipotle Mexican Grill,13869 W Bell Rd Ste 107,Surprise,AZ,85374,85374,33.6383,-112.3591
Chipotle Mexican Grill,5747 Burke Centre Parkway,Burke,VA,22015,22015,38.7987,-77.32031
Chipotle Mexican Grill,6317 Multiplex Dr Ste A,Centreville,VA,20121,20121,38.82824,-77.4382
Chipotle Mexican Grill,1521 N Quaker Lane,Alexandria,VA,22304,22304,38.814873,-77.12099
Chipotle Mexican Grill,9447 Lorton Market Street,Lorton,VA,22079,22079,38.70169,-77.22071
Chipotle Mexican Grill,7923 Tyson Oaks Circle,Vienna,VA,22182,22182,38.90606,-77.2196
Chipotle Mexican Grill,781 Pleasant Grove Blvd Ste 140,Roseville,CA,95678,95678,38.7895,-121.2809
Chipotle Mexican Grill,2507 W Clifton Ave,Cincinnati,OH,45219,45219,39.1283,-84.5206
Chipotle Mexican Grill,620 Mangrove Ave,Chico,CA,95926,95926,39.7344,-121.8352
Chipotle Mexican Grill,4397 Glen Este Withamsville Rd,Cincinnati,OH,45245,45245,39.0929,-84.2638
Chipotle Mexican Grill,338 E Rand Road,Arlington Heights,IL,60004,60004,42.11136,-87.9783
Chipotle Mexican Grill,5006 Northwest Hwy Ste A,Crystal Lake,IL,60014,60014,42.22657,-88.29484
Chipotle Mexican Grill,2558 W Schaumburg Road,Schaumburg,IL,60194,60194,42.02492,-88.14362
Chipotle Mexican Grill,9205 E State Route 350,Kansas City,MO,64133,64133,38.9944,-94.4745
Chipotle Mexican Grill,2011 Colonial Ave SW,Roanoke,VA,24015,24015,37.25594,-79.95424
Chipotle Mexican Grill,100 Prosperity Ln Ste 101,Stafford,VA,22556,22556,38.46924,-77.41189
Chipotle Mexican Grill,5218 Franklin St,Michigan City,IN,46360,46360,41.6734,-86.8934
Chipotle Mexican Grill,5 Greenwood Ln,Springboro,OH,45066,45066,39.5633,-84.2653
Chipotle Mexican Grill,6040 Us Highway 6,Portage,IN,46368,46368,41.55063,-87.18099
Chipotle Mexican Grill,8812 Us 31 S Ste D,Indianapolis,IN,46227,46227,39.63786,-86.12871
Chipotle Mexican Grill,200 W State Street,West Lafayette,IN,47906,47906,40.42372,-86.90719
Chipotle Mexican Grill,4402 Montgomery Rd,Cincinnati,OH,45212,45212,39.1572,-84.4576
Chipotle Mexican Grill,3000 184th St SW Ste 850,Lynnwood,WA,98037,98037,47.8294,-122.27376
Chipotle Mexican Grill,8375 Winton Rd,Cincinnati,OH,45231,45231,39.2195,-84.5186
Chipotle Mexican Grill,1800 Mcfarland Blvd E Ste 608,Tuscaloosa,AL,35404,35404,33.19411,-87.52775
Chipotle Mexican Grill,596 E Perkins St,Ukiah,CA,95482,95482,39.1516,-123.1994
Chipotle Mexican Grill,4625 E 96th St,Indianapolis,IN,46240,46240,39.9264,-86.0903
Chipotle Mexican Grill,2310 Tienda Dr Ste 200,Lodi,CA,95242,95242,38.1167,-121.3025
Chipotle Mexican Grill,5697 Romar Dr,Milford,OH,45150,45150,39.1874,-84.2601
Chipotle Mexican Grill,8201 Calumet Ave,Munster,IN,46321,46321,41.564,-87.5084
Chipotle Mexican Grill,1615 W River Rd N,Elyria,OH,44035,44035,41.39765,-82.10498
Chipotle Mexican Grill,1290 N Bridge St Ste A,Chillicothe,OH,45601,45601,39.36164,-82.97681
Chipotle Mexican Grill,4109 Talmadge Road,Toledo,OH,43623,43623,41.69363,-83.6448
Chipotle Mexican Grill,790 Arlington Rdg Unit 209,Akron,OH,44312,44312,40.98287,-81.49487
Chipotle Mexican Grill,5097 Dressler Rd NW,Canton,OH,44718,44718,40.8552,-81.43275
Chipotle Mexican Grill,3090 Countryside Dr,Turlock,CA,95380,95380,37.5206,-120.8809
Chipotle Mexican Grill,7028 W Palmetto Park Rd,Boca Raton,FL,33433,33433,26.3502,-80.1561
Chipotle Mexican Grill,15067 E Us Route 224,Findlay,OH,45840,45840,41.055545,-83.591056
Chipotle Mexican Grill,4300 Wilson Blvd Ste 100,Arlington,VA,22203,22203,38.8798,-77.1123
Chipotle Mexican Grill,6198 Ulali Dr NE,Salem,OR,97303,97303,45.0111,-122.99663
Chipotle Mexican Grill,7 Rossanley Drive,Medford,OR,97501,97501,42.34426,-122.8811
Chipotle Mexican Grill,120 S Equity Dr Ste A,Smithfield,NC,27577,27577,35.50655,-78.32202
Chipotle Mexican Grill,643 River HWay,Mooresville,NC,28117,28117,35.59547,-80.87565
Chipotle Mexican Grill,8830 Lindholm Dr Ste 120,Huntersville,NC,28078,28078,35.44368,-80.8788
Chipotle Mexican Grill,4151 Sterling Ave Ste B,Kansas City,MO,64133,64133,39.04651,-94.44711
Chipotle Mexican Grill,112 Laura K Dr,O Fallon,MO,63366,63366,38.800102,-90.72016
Chipotle Mexican Grill,1948 Southlake Mall,Merrillville,IN,46410,46410,41.470737,-87.31083
Chipotle Mexican Grill,3254 N John Young Pkwy,Kissimmee,FL,34741,34741,28.3462,-81.4204
Chipotle Mexican Grill,2235 Sw 37th Ave,Miami,FL,33145,33145,25.749332,-80.25434
Chipotle Mexican Grill,4502 S Steele St Ste 159,Tacoma,WA,98409,98409,47.2175,-122.46849
Chipotle Mexican Grill,1201 Nw Lovejoy St,Portland,OR,97209,97209,45.5302,-122.6836
Chipotle Mexican Grill,276 Harbison Blvd Ste B,Columbia,SC,29212,29212,34.07267,-81.15851
Chipotle Mexican Grill,4 Market Point Dr Ste C,Greenville,SC,29607,29607,34.82587,-82.29965
Chipotle Mexican Grill,1726 N High St,Columbus,OH,43201,43201,39.997535,-83.007366
Chipotle Mexican Grill,4109 Talmadge Rd,Toledo,OH,43623,43623,41.693309,-83.645637
Chipotle Mexican Grill,3910 Wayne Ave Ste 100,Wichita Falls,TX,76308,76308,33.870892,-98.534224
Chipotle Mexican Grill,625 Kennedy Ln,Clarksville,TN,37040,37040,36.598167,-87.286076
Chipotle Mexican Grill,6314 N Chatham Avenue,Kansas City,MO,64151,64151,39.209618,-94.64323
Chipotle Mexican Grill,1 N Central Avenue,Saint Louis,MO,63105,63105,38.65054,-90.33842
Chipotle Mexican Grill,21029 Center Ridge Rd,Rocky River,OH,44116,44116,41.461362,-81.852972
Chipotle Mexican Grill,374 King St,Charleston,SC,29401,29401,32.785614,-79.936005
Chipotle Mexican Grill,11728 W Broad St,Henrico,VA,23233,23233,37.653717,-77.615752
Chipotle Mexican Grill,1008 J St,Modesto,CA,95354,95354,37.64062,-121.00003
Chipotle Mexican Grill,1140 Polaris Pkwy,Columbus,OH,43240,43240,40.143953,-82.989366
Chipotle Mexican Grill,2611 Vista Way Ste A,Oceanside,CA,92054,92054,33.181893,-117.331652
Chipotle Mexican Grill,731 Spectrum Center Dr,Irvine,CA,92618,92618,33.650768,-117.742884
Chipotle Mexican Grill,314 N Main St,Blacksburg,VA,24060,24060,37.231079,-80.415182
Chipotle Mexican Grill,1851 Morse Rd,Columbus,OH,43229,43229,40.0604,-82.9691
Chipotle Mexican Grill,5375 New Albany Rd W,New Albany,OH,43054,43054,40.0936,-82.8235
Chipotle Mexican Grill,899 N Court St,Medina,OH,44256,44256,41.15053,-81.86364
Chipotle Mexican Grill,1608 Cortez Rd W,Bradenton,FL,34207,34207,27.463185,-82.578345
Chipotle Mexican Grill,7003 SW Nyberg St,Tualatin,OR,97062,97062,45.383012,-122.7482
Chipotle Mexican Grill,5501 Baltimore Ave Ste 101,Hyattsville,MD,20781,20781,38.955764,-76.939915
Chipotle Mexican Grill,95 N Hamilton Rd,Columbus,OH,43230,43230,40.019649,-82.866786
Chipotle Mexican Grill,10711 Fremont Pike,Perrysburg,OH,43551,43551,41.548495,-83.60068
Chipotle Mexican Grill,1415 Broadway,Seattle,WA,98122,98122,47.61341,-122.321036
Chipotle Mexican Grill,1608 N Memorial Dr,Lancaster,OH,43130,43130,39.7315,-82.6139
Chipotle Mexican Grill,9761 Vista Way,Cleveland,OH,44125,44125,41.4095,-81.6163
Chipotle,1021 Pearson Drive,Hudson,WI,54016,54016,44.959324,-92.719894
Chipotle Mexican Grill,1620 E Monte Vista Ave Ste 101,Vacaville,CA,95688,95688,38.366904,-121.962417
Chipotle Mexican Grill,3871 Airport Blvd,Mobile,AL,36608,36608,30.675338,-88.143754
Chipotle Mexican Grill,3696 W Gandy Blvd,Tampa,FL,33611,33611,27.893439,-82.505865
Chipotle Mexican Grill,3725 Paxton Ave,Cincinnati,OH,45209,45209,39.1453,-84.4319
Chipotle Mexican Grill,4130 Tuscarawas St W,Canton,OH,44708,44708,40.7957,-81.4247
Chipotle Mexican Grill,1671 Stringtown Rd,Grove City,OH,43123,43123,39.8783,-83.0423
Chipotle Mexican Grill,771 Bethel Rd,Columbus,OH,43214,43214,40.0626,-83.0412
Chipotle Mexican Grill,1089 Delaware Ave,Marysville,OH,43040,43040,40.2367,-83.3501
Chipotle Mexican Grill,16729 Lorain Ave,Cleveland,OH,44111,44111,41.4502,-81.8141
Chipotle Mexican Grill,2501 NW Monroe Ave,Corvallis,OR,97330,97330,44.569038,-123.279124
Chipotle Mexican Grill,26420 Great Northern Shop Ctr,North Olmsted,OH,44070,44070,41.4182,-81.9164
Chipotle Mexican Grill,901 N Leavitt Rd,Amherst,OH,44001,44001,41.4169,-82.2084
Chipotle Mexican Grill,100 Wrenn Dr Ste 103,Cary,NC,27511,27511,35.7652,-78.7839
Chipotle Mexican Grill,1934 W Main St,Troy,OH,45373,45373,40.0565,-84.2433
Chipotle Mexican Grill,1395 University St,Eugene,OR,97403,97403,44.0447,-123.074
Chipotle Mexican Grill,2420 E 146th St,Carmel,IN,46033,46033,40.000772,-86.118947
Chipotle Mexican Grill,1000 N High St,Columbus,OH,43201,43201,39.982757,-83.004459
Chipotle Mexican Grill,1208 S Clearview Pkwy Ste A,New Orleans,LA,70123,70123,29.960017,-90.184479
Chipotle Mexican Grill,369 S Winchester Blvd,San Jose,CA,95128,95128,37.321716,-121.95055
Chipotle,5809 Rosemead Boulevard,Temple City,CA,91780,91780,34.104768,-118.074582
Chipotle,4718 Admiralty Way,Marina del Rey,CA,90292,90292,33.97942,-118.43966
Chipotle Mexican Grill,2125 Interstate Dr,Opelika,AL,36801,36801,32.6168,-85.4045
Chipotle Mexican Grill,1442 Hulsey Way,Manteca,CA,95336,95336,37.7963,-121.193
Chipotle Mexican Grill,18815 Biscayne Blvd,Miami,FL,33180,33180,25.95043,-80.14658
Chipotle Mexican Grill,5435 N University Dr,Fort Lauderdale,FL,33351,33351,26.1916,-80.252
Chipotle Mexican Grill,204 Crossroads Blvd Ste 212,Cary,NC,27518,27518,35.76098,-78.74029
Chipotle Mexican Grill,1045 6th St NE,Washington,DC,20002,20002,38.90361,-76.99835
Chipotle Mexican Grill,3420 Connecticut Ave NW,Washington,DC,20008,20008,38.93477,-77.05844
Chipotle Mexican Grill,5240 Dublin Blvd Ste S2j,Dublin,CA,94568,94568,37.70614,-121.89217
Chipotle Mexican Grill,7020 Amador Plaza Road,Dublin,CA,94568,94568,37.70645,-121.92903
Chipotle Mexican Grill,2760 Mowry Avenue,Fremont,CA,94538,94538,37.55491,-121.98301
Chipotle Mexican Grill,2207 Claribel Rd Ste A,Riverbank,CA,95367,95367,37.71108,-120.95813
Chipotle Mexican Grill,1813 Tulane Drive,Lufkin,TX,75901,75901,31.31166,-94.72118
Chipotle Mexican Grill,1769 N Frontage Road,Hastings,MN,55033,55033,44.73919,-92.89326
Chipotle Mexican Grill,1600 Osgood Drive,Altoona,PA,16602,16602,40.48638,-78.38756
Chipotle Mexican Grill,1418 66th St N,Saint Petersburg,FL,33710,33710,27.78556,-82.72859
Chipotle Mexican Grill,2207 Del Prado Blvd S,Cape Coral,FL,33990,33990,26.61077,-81.94094
Chipotle Mexican Grill,8790 Boynton Beach Blvd Building B1,Boynton Beach,FL,33472,33472,26.52705,-80.18622
Chipotle Mexican Grill,1800 McFarland Boulevard,Northport,AL,35476,35476,33.23869,-87.57492
Chipotle Mexican Grill,1780 N Congress Ave Ste 100,Boynton Beach,FL,33426,33426,26.54315,-80.0904
Chipotle Mexican Grill,2617 David H Mcleod Blvd,Florence,SC,29501,29501,34.1883,-79.8258
Chipotle Mexican Grill,346 W Magnolia Ave,Auburn,AL,36832,36832,32.6068,-85.4873
Chipotle Mexican Grill,4394 Montagano Blvd,Cleveland,OH,44121,44121,41.52938,-81.52194
Chipotle Mexican Grill,2680 Pearland Pkwy Ste 100,Pearland,TX,77581,77581,29.55813,-95.26113
Chipotle Mexican Grill,2501 E Franklin Blvd,Gastonia,NC,28056,28056,35.26031,-81.1331
Chipotle Mexican Grill,829 E Bloomingdale Ave,Brandon,FL,33511,33511,27.8937,-82.2699
Chipotle Mexican Grill,1291 Hill Rd N,Pickerington,OH,43147,43147,39.91565,-82.78071
Chipotle Mexican Grill,1666 N Federal Hwy,Boca Raton,FL,33432,33432,26.36574,-80.07919
Chipotle Mexican Grill,18 Mall Rd,Barboursville,WV,25504,25504,38.41592,-82.26003
Chipotle Mexican Grill,2 Broadway,New York,NY,10004-2207,10004,40.70433,-74.01305
Chipotle Mexican Grill,135 Market St,Westlake,OH,44145,44145,41.45737,-81.95014
Chipotle Mexican Grill,336a Coddingtown Ctr,Santa Rosa,CA,95401,95401,38.45926,-122.73138
Chipotle Mexican Grill,2640 Creekside Dr,Twinsburg,OH,44087,44087,41.308,-81.43871
Chipotle Mexican Grill,930 N Division St,Spokane,WA,99202,99202,47.6659,-117.4111
Chipotle Mexican Grill,4530 Ne Cornell Rd,Hillsboro,OR,97124,97124,45.53298,-122.93497
Chipotle Mexican Grill,10671 Innovation Dr,Miamisburg,OH,45342,45342,39.59723846,-84.2314274
Chipotle Mexican Grill,4953 Centre Pointe Dr,North Charleston,SC,29418,29418,32.87395,-80.02074
Chipotle Mexican Grill,10149 W Colonial Dr,Ocoee,FL,34761,34761,28.5518,-81.5275
Chipotle Mexican Grill,13535 Nw Cornell Rd,Portland,OR,97229,97229,45.52755,-122.81551
Chipotle Mexican Grill,2364 Kings Center Ct,Mason,OH,45040,45040,39.356478,-84.259041
