name,address,city,province,postalCode,zipcode,latitude,longitude
Panda Express,5505 Al Highway 157,Cullman,AL,35058,35058,34.20643,-86.86648
Panda Express,100 S Mannheim Rd,Hillside,IL,60162,60162,41.868,-87.8829
Panda Express,1701 John F Kennedy Blvd,Philadelphia,PA,19103,19103,39.9541,-75.1685
Panda Express,1985 Wentzville Pkwy,Wentzville,MO,63385,63385,38.815,-90.8762
Panda Express,111 University Oaks,Round Rock,TX,78665,78665,30.555157,-97.691696
Panda Express,2380 Monument Blvd,Pleasant Hill,CA,94523,94523,37.9461,-122.0535
Panda Express,5752 Lindero Canyon Rd,Thousand Oaks,CA,91362,91362,34.1548,-118.7956
Panda Express,4309 W Bethany Home Rd,Glendale,AZ,85301,85301,33.5239,-112.1521
Panda Express,674 E San Ysidro Blvd,San Ysidro,CA,92173,92173,32.5463,-117.0318
Panda Express,3648 W S,Riverton,UT,84065,84065,40.50796,-111.97792
Panda Express,250 Peppers Fry Rd NW,Christiansburg,VA,24073,24073,37.135284,-80.41878
Panda Express,2031 Coliseum Drive,Hampton,VA,23666,23666,37.04455,-76.39038
Panda Express,4500 N Oracle Rd Ste Fc05,Tucson,AZ,85705,85705,32.28839,-110.97674
Panda Express,6150 Us Highway 6,Portage,IN,46368,46368,41.55064,-87.17633
Panda Express,2939 Terminal Dr CincinnatiNorthern International Airport,Hebron,KY,41048,41048,39.053276,-84.66302
Panda Express,567 Coleman Ave,San Jose,CA,95110,95110,37.3406,-121.9064
Panda Express,2415 Sagamore Pkwy W,West Lafayette,IN,47906,47906,40.444023,-86.92366
Panda Express,2282 Southlake Mall,Merrillville,IN,46410,46410,41.47038,-87.30893
Panda Express,368 E Makaala St,Hilo,HI,96720,96720,19.6987,-155.0609
Panda Express,1116 Outlet Collection Dr SW,Auburn,WA,98001,98001,47.316338,-122.27006
Panda Express,5180 Stevens Creek Blvd,San Jose,CA,95129,95129,37.3228,-121.9943
Panda Express,7700 W Arrowhead Towne Center,Glendale,AZ,85308,85308,33.64006,-112.22501
Panda Express,401 E Jefferson Street,Phoenix,AZ,85004,85004,33.4452,-112.06685
Panda Express,3923 E Thomas Rd,Phoenix,AZ,85018,85018,33.479981,-111.997839
Panda Express,585 N Germantown Parkway,Cordova,TN,38018,38018,35.14116,-89.79617
Panda Express,510 N Thompson Ln Ste A,Murfreesboro,TN,37129,37129,35.85617,-86.4297
Panda Express,1500 Greenland Drive,Murfreesboro,TN,37132,37132,35.8475,-86.3625
Panda Chinese Restaurant,682 Nashville Pike,Gallatin,TN,37066,37066,36.38109,-86.46321
Panda Express,3571 N Freeway Blvd,Sacramento,CA,95834,95834,38.641,-121.4994
Panda Express,6555 E Southern Ave,Mesa,AZ,85206,85206,33.3937,-111.6892
Panda Express,120 23rd Street,Columbus,NE,68601,68601,41.43859,-97.3261
Panda Express,6805 Houston Rd,Florence,KY,41042,41042,39.011,-84.6459
Panda Express,1279 S Kihei Rd Ste 102,Kīhei,HI,96753,96753,20.7501,-156.4552
Panda Express,9800 76th St,Pleasant Prairie,WI,53158,53158,42.5663,-87.9284
Panda Express,1210 Miller Park Way,Milwaukee,WI,53214,53214,43.018974,-87.96817
Panda Chinese Restaurant,143 Central Avenue,Albany,NY,12206,12206,42.66084,-73.7674
Panda Express,31 W 81st Ave,Merrillville,IN,46410,46410,41.4704,-87.3371
Panda Express,200 Central Campus Dr,Salt Lake City,UT,84112,84112,40.76565,-111.84478
Panda Express,4688 S Scatterfield Rd,Anderson,IN,46013,46013,40.0673,-85.6527
Panda Express,255 Soscol Ave,Napa,CA,94559,94559,38.284,-122.2746
Panda Express,153 Cochran St,Simi Valley,CA,93065,93065,34.2814,-118.7931
Panda Express,13305 Tegler Dr,Noblesville,IN,46060,46060,39.9954,-85.9278
Panda Express,101a Highlands Boulevard Drive,Ballwin,MO,63011,63011,38.59275,-90.50527
Panda Express,20 Commons Way,Oxford,AL,36203,36203,33.608273,-85.78649
Panda Express,1060 Auahi St Spc 5,Honolulu,HI,96814,96814,21.299847,-157.84387
Panda Express,1178 N Muldoon Rd,Anchorage,AK,99504,99504,61.203697,-149.74467
Panda Express,4454 Nuhou St Ste 512,Lihue,HI,96766,96766,21.981619,-159.36826
Panda Express,2280 Oak Grove Rd,Walnut Creek,CA,94598,94598,37.9295,-122.0166
Panda Express,970 N Congress Ave Ste 100,Boynton Beach,FL,33426,33426,26.53676,-80.09046
Panda Express,4211 Waialae Ave Ste 6030,Honolulu,HI,96816,96816,21.2773,-157.7859
Panda Express,4865 N Ten Mile Rd,Meridian,ID,83646,83646,43.64903,-116.43364
