name,address,city,province,postalCode,zipcode,latitude,longitude
Panera Bread,7224 Eastchase Parkway,Montgomery,AL,36117,36117,32.36049,-86.1653
Panera Bread,3700 Rivertown Parkway,Grandville,MI,49418,49418,42.8793,-85.7557
Panera Bread,1191 East Ogden Avenue,Naperville,IL,60563,60563,41.7961,-88.1242
Panera Bread,2370 SW College Road,Ocala,FL,34471,34471,29.1693,-82.1625
Panera Bread,2101 North Federal Highway,Pompano Beach,FL,33062,33062,26.2571,-80.1013
Panera Bread,8179 Highway 72 W,Madison,AL,35758,35758,34.7505,-86.7562
Panera Bread,901 Howe Ave,Sacramento,CA,95825,95825,38.582,-121.4159
Panera Bread,3500 Owen Road,Fenton,MI,48430,48430,42.7901,-83.7428
Panera Bread,2512 Waukegan Road,Glenview,IL,60025,60025,42.1,-87.7993
Panera Bread,14121 Hall Road,Utica,MI,48315,48315,42.6284,-82.9863
Panera Bread,2137 Upton Drive,Virginia Beach,VA,23454,23454,36.75927,-76.00595
Panera Bread,715 University City Boulevard,Blacksburg,VA,24060,24060,37.2325,-80.43288
Panera Bread,4701 Brad Mcneer Parkway,Midlothian,VA,23112,23112,37.41758,-77.6392
Panera Bread,4202 Electric Road,Roanoke,VA,24018,24018,37.22758,-79.97962
Panera Bread,1412 Greenbrier Parkway,Chesapeake,VA,23320,23320,36.77643,-76.2309
Panera Bread,3911 Wards Road,Lynchburg,VA,24502,24502,37.35095,-79.18454
Panera Bread,4536 Elkhart Rd,Goshen,IN,46526,46526,41.6275,-85.909
Panera Bread,876 Eastgate North Drive,Cincinnati,OH,45245,45245,39.0966,-84.2649
Panera Bread,2415 Tarpon Bay Blvd Unit 5,Naples,FL,34119,34119,26.2705,-81.7383
Panera Bread,144 Us Highway 41,Schererville,IN,46375,46375,41.51963,-87.47145
Panera Bread,1749 S Burlington Boulevard,Burlington,WA,98233,98233,48.45319,-122.33681
Panera Bread,7711 Beechmont Avenue,Cincinnati,OH,45255,45255,39.0725,-84.3438
Panera Bread,405 East Kemper Road,Cincinnati,OH,45246,45246,39.2871,-84.4625
Panera Bread,207 Willey Street,Morgantown,WV,26505,26505,39.63216,-79.95372
Panera Bread,3000 Charleston Town Center,Charleston,WV,25389,25389,38.3529,-81.6381
Panera Bread,8420 Winton Road,Cincinnati,OH,45231,45231,39.2205,-84.5174
Panera Bread,1808 Tamiami Trail,Port Charlotte,FL,33948,33948,27.0076,-82.132
Panera Bread,5720 Cottle Road,San Jose,CA,95123,95123,37.2483,-121.8032
Panera Bread,1037 Glenbrook Way,Hendersonville,TN,37075,37075,36.33139,-86.62229
Panera Bread,2012 Crossings Circle,Spring Hill,TN,37174,37174,35.74075,-86.94176
Panera Bread,5525 Merle Hay Road,Johnston,IA,50131,50131,41.6617,-93.6965
Panera Bread,2731 Del Paso Rd,Sacramento,CA,95835,95835,38.6564,-121.5228
Panera Bread,631 Promenade Place,Columbia,SC,29229,29229,34.12992,-80.87747
Panera Bread,5070 International Boulevard,North Charleston,SC,29418,29418,32.86725,-80.01542
Panera Bread,3337 E Central Avenue Suite 101,Wichita,KS,67208,67208,37.6932,-97.2976
Panera Bread,9444 Civic Centre Boulevard,West Chester,OH,45069,45069,39.31993,-84.42285
Panera Bread,1786 Stringtown Road,Grove City,OH,43123,43123,39.87938,-83.04369
Panera Bread,6665 Perimeter Loop Road,Dublin,OH,43017,43017,40.1093,-83.11463
Panera Bread,3934 Burbank Road,Wooster,OH,44691,44691,40.84755,-81.94749
Panera Bread,1971 Tiffin Avenue,Findlay,OH,45840,45840,41.05325,-83.60865
Panera Bread,4065 Pearl Road,Medina,OH,44256,44256,41.1639,-81.86148
Panera Bread,5203 Milan Road,Sandusky,OH,44870,44870,41.40587,-82.66249
Panera Bread,13256 North Dale Mabry Highway,Tampa,FL,33618,33618,28.069,-82.5069
Panera Bread,701 N Congress Avenue,Boynton Beach,FL,33426,33426,26.5349,-80.0913
Panera Bread,2500 Miamisburg Centerville Road,Dayton,OH,45459,45459,39.63455,-84.21553
Panera Bread,6130 Wilmington Pike,Dayton,OH,45459,45459,39.65112,-84.10948
Panera Bread,5503 Mahoning Avenue,Youngstown,OH,44515,44515,41.09951,-80.76439
Panera Bread,3895 Medina Road,Akron,OH,44333,44333,41.13604,-81.63914
Panera Bread,3806 Paxton Avenue,Cincinnati,OH,45209,45209,39.1461,-84.4288
Panera Bread,8115 Montgomery Road,Cincinnati,OH,45236,45236,39.2041,-84.3704
Panera Bread,7725 Voice Of America Centre Drive,West Chester,OH,45069,45069,39.3531,-84.3617
Panera Bread,1140 Plaza Drive,Schaumburg,IL,60173,60173,42.0494,-88.0446
Panera Bread,1760 US Highway 27 N,Sebring,FL,33870,33870,27.4993,-81.4885
Panera Bread,2015 North University Drive,Pompano Beach,FL,33071,33071,26.2562,-80.2503
Panera Bread,2928 W Bay Drive,Largo,FL,33770,33770,27.9162,-82.8189
Panera Bread,504 Brandon Town Center,Brandon,FL,33511,33511,27.9318,-82.3261
Panera Bread,1908 4th Street North,Saint Petersburg,FL,33704,33704,27.79,-82.6388
Panera Bread,20437 State Road 7,Boca Raton,FL,33498,33498,26.3699,-80.2063
