zipcode,city,state
96792,WAIANAE,HI
96707,KAPOLEI,HI
96706,EWA BEACH,HI
96853,HICKAM AFB,HI
96789,MILILANI,HI
96782,PEARL CITY,HI
96814,HONOLULU,HI
96815,HONOLULU,HI
96815,HONOLULU,HI
96826,HONOLULU,HI
96819,HONOLULU,HI
96817,HONOLULU,HI
96817,HONOLULU,HI
96819,HONOLULU,HI
96701,AIEA,HI
96744,KANEOHE,HI
96734,KAILUA,HI
96825,HONOLULU,HI
96825,HONOLULU,HI
96732,KAHULUI,HI
96732,KAHULUI,HI
96766,LIHUE,HI
96746,KAPAA,HI
96857,SCHOFIELD BRRCKS,HI
96857,SCHOFIELD BRRCKS,HI
96740,KAILUA KONA,HI
96743,KAMUELA,HI
96778,PAHOA,HI
96720,HILO,HI
96720,HILO,HI
93955,SEASIDE,CA
93933,MARINA,CA
95060,SANTA CRUZ,CA
95062,SANTA CRUZ,CA
95066,SCOTTS VALLEY,CA
95010,CAPITOLA,CA
95076,WATSONVILLE,CA
95129,SAN JOSE,CA
95014,CUPERTINO,CA
95051,SANTA CLARA,CA
95120,SAN JOSE,CA
95123,SAN JOSE,CA
95008,CAMPBELL,CA
95126,SAN JOSE,CA
95050,SANTA CLARA,CA
95128,SAN JOSE,CA
95131,SAN JOSE,CA
95112,SAN JOSE,CA
95111,SAN JOSE,CA
95111,SAN JOSE,CA
95122,SAN JOSE,CA
95127,SAN JOSE,CA
95133,SAN JOSE,CA
95472,SEBASTOPOL,CA
94954,PETALUMA,CA
94954,PETALUMA,CA
95407,SANTA ROSA,CA
94931,COTATI,CA
94928,ROHNERT PARK,CA
94928,ROHNERT PARK,CA
95407,SANTA ROSA,CA
94019,HALF MOON BAY,CA
94066,SAN BRUNO,CA
94066,SAN BRUNO,CA
94063,REDWOOD CITY,CA
94063,REDWOOD CITY,CA
94403,SAN MATEO,CA
94403,SAN MATEO,CA
94030,MILLBRAE,CA
94014,COLMA,CA
94015,DALY CITY,CA
94080,S SAN FRANCISCO,CA
94118,SAN FRANCISCO,CA
94112,SAN FRANCISCO,CA
94103,SAN FRANCISCO,CA
94102,SAN FRANCISCO,CA
94103,SAN FRANCISCO,CA
94109,SAN FRANCISCO,CA
94102,SAN FRANCISCO,CA
94124,SAN FRANCISCO,CA
94621,OAKLAND,CA
94501,ALAMEDA,CA
94621,OAKLAND,CA
94530,EL CERRITO,CA
94612,OAKLAND,CA
94611,OAKLAND,CA
94606,OAKLAND,CA
94040,MOUNTAIN VIEW,CA
94545,HAYWARD,CA
94560,NEWARK,CA
94560,NEWARK,CA
94587,UNION CITY,CA
94544,HAYWARD,CA
94587,UNION CITY,CA
95035,MILPITAS,CA
95035,MILPITAS,CA
94539,FREMONT,CA
94538,FREMONT,CA
94541,HAYWARD,CA
94545,HAYWARD,CA
94580,SAN LORENZO,CA
94578,SAN LEANDRO,CA
94577,SAN LEANDRO,CA
94605,OAKLAND,CA
94556,MORAGA,CA
94526,DANVILLE,CA
94596,WALNUT CREEK,CA
94568,DUBLIN,CA
94588,PLEASANTON,CA
94583,SAN RAMON,CA
94901,SAN RAFAEL,CA
94949,NOVATO,CA
94805,RICHMOND,CA
94564,PINOLE,CA
94547,HERCULES,CA
94590,VALLEJO,CA
94590,VALLEJO,CA
94559,NAPA,CA
94558,NAPA,CA
94553,MARTINEZ,CA
94553,MARTINEZ,CA
94597,WALNUT CREEK,CA
94523,PLEASANT HILL,CA
94520,CONCORD,CA
94520,CONCORD,CA
94510,BENICIA,CA
94510,BENICIA,CA
94521,CONCORD,CA
94565,BAY POINT,CA
94509,ANTIOCH,CA
94534,FAIRFIELD,CA
94534,FAIRFIELD,CA
94533,FAIRFIELD,CA
94585,SUISUN CITY,CA
94533,FAIRFIELD,CA
94535,TRAVIS AFB,CA
94535,TRAVIS AFB,CA
95687,VACAVILLE,CA
95687,VACAVILLE,CA
95401,SANTA ROSA,CA
95492,WINDSOR,CA
95409,SANTA ROSA,CA
95482,UKIAH,CA
95490,WILLITS,CA
95453,LAKEPORT,CA
95694,WINTERS,CA
95620,DIXON,CA
95616,DAVIS,CA
95695,WOODLAND,CA
95932,COLUSA,CA
95987,WILLIAMS,CA
95540,FORTUNA,CA
95501,EUREKA,CA
95501,EUREKA,CA
95519,MCKINLEYVILLE,CA
95988,WILLOWS,CA
96021,CORNING,CA
95963,ORLAND,CA
95928,CHICO,CA
95926,CHICO,CA
96080,RED BLUFF,CA
96007,ANDERSON,CA
96002,REDDING,CA
96001,REDDING,CA
96019,SHASTA LAKE,CA
96067,MT SHASTA,CA
95531,CRESCENT CITY,CA
96097,YREKA,CA
97527,GRANTS PASS,OR
97501,MEDFORD,OR
97504,MEDFORD,OR
97502,CENTRAL POINT,OR
97503,WHITE CITY,OR
97503,WHITE CITY,OR
97520,ASHLAND,OR
97601,KLAMATH FALLS,OR
97526,GRANTS PASS,OR
97471,ROSEBURG,OR
97479,SUTHERLIN,OR
97420,COOS BAY,OR
97365,NEWPORT,OR
97367,LINCOLN CITY,OR
97424,COTTAGE GROVE,OR
97402,EUGENE,OR
97404,EUGENE,OR
97477,SPRINGFIELD,OR
97333,CORVALLIS,OR
97330,CORVALLIS,OR
97330,CORVALLIS,OR
97322,ALBANY,OR
97321,ALBANY,OR
97355,LEBANON,OR
97338,DALLAS,OR
97304,SALEM,OR
97304,SALEM,OR
97128,MCMINNVILLE,OR
97306,SALEM,OR
97302,SALEM,OR
97317,SALEM,OR
97301,SALEM,OR
97305,SALEM,OR
97303,SALEM,OR
97071,WOODBURN,OR
97071,WOODBURN,OR
97141,TILLAMOOK,OR
97103,ASTORIA,OR
98520,ABERDEEN,WA
97132,NEWBERG,OR
97140,SHERWOOD,OR
97003,BEAVERTON,OR
97070,WILSONVILLE,OR
97070,WILSONVILLE,OR
97224,PORTLAND,OR
97223,PORTLAND,OR
97005,BEAVERTON,OR
97223,PORTLAND,OR
97267,PORTLAND,OR
97113,CORNELIUS,OR
97124,HILLSBORO,OR
97124,HILLSBORO,OR
97006,BEAVERTON,OR
97214,PORTLAND,OR
97232,PORTLAND,OR
97232,PORTLAND,OR
97217,PORTLAND,OR
97217,PORTLAND,OR
98665,VANCOUVER,WA
98686,VANCOUVER,WA
97056,SCAPPOOSE,OR
98632,LONGVIEW,WA
98632,LONGVIEW,WA
98626,KELSO,WA
97045,OREGON CITY,OR
97086,HAPPY VALLEY,OR
97086,HAPPY VALLEY,OR
97206,PORTLAND,OR
97266,PORTLAND,OR
97080,GRESHAM,OR
97236,PORTLAND,OR
97055,SANDY,OR
97216,PORTLAND,OR
97266,PORTLAND,OR
97220,PORTLAND,OR
97230,PORTLAND,OR
97030,GRESHAM,OR
97060,WOOD VILLAGE,OR
98684,VANCOUVER,WA
98662,VANCOUVER,WA
98665,VANCOUVER,WA
98683,VANCOUVER,WA
97060,TROUTDALE,OR
98671,WASHOUGAL,WA
98611,CASTLE ROCK,WA
98532,CHEHALIS,WA
98531,CENTRALIA,WA
98501,TUMWATER,WA
98502,OLYMPIA,WA
98503,LACEY,WA
98503,OLYMPIA,WA
98503,LACEY,WA
98597,YELM,WA
98584,SHELTON,WA
98329,GIG HARBOR,WA
98367,PORT ORCHARD,WA
98337,BREMERTON,WA
98312,BREMERTON,WA
98311,BREMERTON,WA
98383,SILVERDALE,WA
98370,POULSBO,WA
98433,FORT LEWIS,WA
98433,FORT LEWIS,WA
98433,FORT LEWIS,WA
98433,FORT LEWIS,WA
98433,FORT LEWIS,WA
98499,LAKEWOOD,WA
98438,TACOMA,WA
98387,SPANAWAY,WA
98408,TACOMA,WA
98404,TACOMA,WA
98409,TACOMA,WA
98373,PUYALLUP,WA
98375,PUYALLUP,WA
98373,PUYALLUP,WA
98371,PUYALLUP,WA
98003,FEDERAL WAY,WA
98002,AUBURN,WA
98032,KENT,WA
98032,KENT,WA
98030,KENT,WA
98032,KENT,WA
98166,BURIEN,WA
98158,SEATTLE,WA
98188,TUKWILA,WA
98057,RENTON,WA
98057,RENTON,WA
98391,BONNEY LAKE,WA
98391,BONNEY LAKE,WA
98042,COVINGTON,WA
98038,MAPLE VALLEY,WA
98045,NORTH BEND,WA
98366,PORT ORCHARD,WA
98134,SEATTLE,WA
98144,SEATTLE,WA
98107,SEATTLE,WA
98133,SEATTLE,WA
98125,SEATTLE,WA
98026,EDMONDS,WA
98006,BELLEVUE,WA
98005,BELLEVUE,WA
98007,BELLEVUE,WA
98027,ISSAQUAH,WA
98034,KIRKLAND,WA
98072,WOODINVILLE,WA
98272,MONROE,WA
98382,SEQUIM,WA
98277,OAK HARBOR,WA
98201,EVERETT,WA
98271,MARYSVILLE,WA
98270,MARYSVILLE,WA
98223,ARLINGTON,WA
98273,MT VERNON,WA
98273,MT VERNON,WA
98284,SEDRO WOOLLEY,WA
98284,SEDRO WOOLLEY,WA
98226,BELLINGHAM,WA
98230,BLAINE,WA
98230,BLAINE,WA
98264,LYNDEN,WA
99515,ANCHORAGE,AK
99503,ANCHORAGE,AK
99508,ANCHORAGE,AK
99654,WASILLA,AK
99505,FORT RICHARDSON,AK
99703,FORT WAINWRIGHT,AK
99701,FAIRBANKS,AK
99702,EIELSON AFB,AK
99702,EIELSON AFB,AK
92173,SAN YSIDRO,CA
91932,IMPERIAL BEACH,CA
92173,SAN YSIDRO,CA
91911,CHULA VISTA,CA
91950,NATIONAL CITY,CA
91950,NATIONAL CITY,CA
92118,CORONADO,CA
92110,SAN DIEGO,CA
92109,SAN DIEGO,CA
92111,SAN DIEGO,CA
92113,SAN DIEGO,CA
92101,SAN DIEGO,CA
92102,SAN DIEGO,CA
92105,SAN DIEGO,CA
92108,SAN DIEGO,CA
92108,SAN DIEGO,CA
92111,SAN DIEGO,CA
92115,SAN DIEGO,CA
92093,LA JOLLA,CA
92122,SAN DIEGO,CA
92121,SAN DIEGO,CA
92121,SAN DIEGO,CA
