zip_code,City,State,Restaurant,Lat,Long_
99503,Anchorage,AK,Carl's Jr.,61.1952,-149.895
99507,Anchorage,AK,Carl's Jr.,61.1373,-149.841
99515,Anchorage,AK,Carl's Jr.,61.1087,-149.861
99611,Kenai,AK,Carl's Jr.,60.5589,-151.238
99654,Wasilla,AK,Carl's Jr.,61.5788,-149.406
86429,Bullhead City,AZ,Carl's Jr.,35.1674,-114.566
86442,Bullhead City,AZ,Carl's Jr.,34.9844,-114.351
85222,Casa Grande,AZ,Carl's Jr.,32.8795,-111.714
85224,Chandler,AZ,Carl's Jr.,33.3337,-111.859
85231,Eloy,AZ,Carl's Jr.,32.7811,-111.62
86001,Flagstaff,AZ,Carl's Jr.,35.187,-111.661
85234,Gilbert,AZ,Carl's Jr.,33.3631,-111.79
85296,Gilbert,AZ,Carl's Jr.,33.3065,-111.79
85301,Glendale,AZ,Carl's Jr.,33.553,-112.184
85306,Glendale,AZ,Carl's Jr.,33.6106,-112.169
85308,Glendale,AZ,Carl's Jr.,33.6384,-112.215
85338,Goodyear,AZ,Carl's Jr.,33.4642,-112.356
85283,Guadalupe,AZ,Carl's Jr.,33.3781,-111.964
86401,Kingman,AZ,Carl's Jr.,35.1908,-114.065
86403,Lake Havasu City,AZ,Carl's Jr.,34.4819,-114.348
85653,Marana,AZ,Carl's Jr.,32.4397,-111.241
85239,Maricopa,AZ,Carl's Jr.,33.07,-112.046
85202,Mesa,AZ,Carl's Jr.,33.3933,-111.863
85204,Mesa,AZ,Carl's Jr.,33.3908,-111.788
85205,Mesa,AZ,Carl's Jr.,33.4361,-111.719
85210,Mesa,AZ,Carl's Jr.,33.3813,-111.84
85215,Mesa,AZ,Carl's Jr.,33.4517,-111.734
85621,Nogales,AZ,Carl's Jr.,31.3647,-110.947
85737,Oro Valley,AZ,Carl's Jr.,32.3971,-110.959
85345,Peoria,AZ,Carl's Jr.,33.5951,-112.22
85345,Peoria,AZ,Carl's Jr.,33.5512,-112.281
85016,Phoenix,AZ,Carl's Jr.,33.4804,-112.031
85017,Phoenix,AZ,Carl's Jr.,33.4805,-112.118
85020,Phoenix,AZ,Carl's Jr.,33.5689,-112.065
85022,Phoenix,AZ,Carl's Jr.,33.6403,-112.032
85031,Phoenix,AZ,Carl's Jr.,33.5094,-112.154
85032,Phoenix,AZ,Carl's Jr.,33.6,-111.987
85033,Phoenix,AZ,Carl's Jr.,33.4803,-112.223
85034,Phoenix,AZ,Carl's Jr.,33.4485,-112.03
85043,Phoenix,AZ,Carl's Jr.,33.4606,-112.169
85048,Phoenix,AZ,Carl's Jr.,33.3055,-111.978
85053,Phoenix,AZ,Carl's Jr.,33.6398,-112.134
85085,Phoenix,AZ,Carl's Jr.,33.7128,-112.109
86301,Prescott,AZ,Carl's Jr.,34.5509,-112.479
85346,Quartzsite,AZ,Carl's Jr.,33.6625,-114.236
85251,Scottsdale,AZ,Carl's Jr.,33.4872,-111.909
85260,Scottsdale,AZ,Carl's Jr.,33.6232,-111.896
85635,Sierra Vista,AZ,Carl's Jr.,31.5545,-110.277
85705,Tucson,AZ,Carl's Jr.,32.2737,-110.978
85705,Tucson,AZ,Carl's Jr.,32.2867,-110.962
85706,Tucson,AZ,Carl's Jr.,32.1343,-110.922
85710,Tucson,AZ,Carl's Jr.,32.2212,-110.826
85711,Tucson,AZ,Carl's Jr.,32.2068,-110.905
85713,Tucson,AZ,Carl's Jr.,32.1777,-110.955
85715,Tucson,AZ,Carl's Jr.,32.2508,-110.858
85719,Tucson,AZ,Carl's Jr.,32.2213,-110.944
85745,Tucson,AZ,Carl's Jr.,32.2206,-110.981
85746,Tucson,AZ,Carl's Jr.,32.1336,-111.001
85364,Yuma,AZ,Carl's Jr.,32.6695,-114.624
85365,Yuma,AZ,Carl's Jr.,32.6987,-114.61
91301,Agoura Hills,CA,Carl's Jr.,34.1543,-118.757
94501,Alameda,CA,Carl's Jr.,37.7827,-122.273
91803,Alhambra,CA,Carl's Jr.,34.088,-118.152
92656,Aliso Viejo,CA,Carl's Jr.,33.5939,-117.729
91901,Alpine,CA,Carl's Jr.,32.8384,-116.778
91701,Alta Loma,CA,Carl's Jr.,34.1216,-117.615
91737,Alta Loma,CA,Carl's Jr.,34.1328,-117.593
92801,Anaheim,CA,Carl's Jr.,33.8418,-117.959
92801,Anaheim,CA,Carl's Jr.,33.8324,-117.95
92801,Anaheim,CA,Carl's Jr.,33.8509,-117.924
92802,Anaheim,CA,Carl's Jr.,33.7954,-117.915
92805,Anaheim,CA,Carl's Jr.,33.8322,-117.919
92806,Anaheim,CA,Carl's Jr.,33.8511,-117.857
92806,Anaheim,CA,Carl's Jr.,33.8368,-117.871
92806,Anaheim,CA,Carl's Jr.,33.8186,-117.889
92806,Anaheim,CA,Carl's Jr.,33.8035,-117.889
92806,Anaheim,CA,Carl's Jr.,33.8063,-117.876
92806,Anaheim,CA,Carl's Jr.,33.7995,-117.889
92807,Anaheim,CA,Carl's Jr.,33.8598,-117.79
92807,Anaheim,CA,Carl's Jr.,33.8552,-117.838
92808,Anaheim,CA,Carl's Jr.,33.8674,-117.745
94531,Antioch,CA,Carl's Jr.,37.9681,-121.786
92307,Apple Valley,CA,Carl's Jr.,34.5002,-117.191
91006,Arcadia,CA,Carl's Jr.,34.1304,-118.026
95521,Arcata,CA,Carl's Jr.,40.9002,-124.083
93420,Arroyo Grande,CA,Carl's Jr.,35.1307,-120.606
93422,Atascadero,CA,Carl's Jr.,35.4844,-120.662
95603,Auburn,CA,Carl's Jr.,38.9353,-121.093
