restaurant,item,calories,sat_fat,total_fat,sodium,protein
Carls Jr,Famous Star with Cheese,660,13,39,1300,27
Carls Jr,Super Star with Cheese,920,23,58,1640,47
Carls Jr,Western Bacon Cheeseburger,710,13,33,1410,32
Carls Jr,Double Western Bacon Cheeseburger,960,23,52,1750,52
Carls Jr,Big Carl,920,23,59,1370,46
Carls Jr,Jalapeno Burger,720,15,46,1340,27
Carls Jr,Double Cheeseburger,380,8,18,800,22
Carls Jr,Kid's Cheeseburger,340,7,16,730,17
Carls Jr,Kid's Hamburger,280,4,11,490,14
Carls Jr,Monster Angus Thickburger,1290,50,95,2150,72
Carls Jr,Original Six Dollar Thickburger,890,20,54,2040,45
Carls Jr,Guacamole Bacon Thickburger,1040,25,70,2240,49
Carls Jr,Charbroiled BBQ Chicken Sandwich,390,2,7,1010,34
Carls Jr,Charbroiled Chicken Club Sandwich,580,8,25,1330,42
Carls Jr,Spicy Chicken Sandwich,460,4,18,1240,27
Carls Jr,Big Chicken Fillet Sandwich,580,5,24,1180,32
Carls Jr,Chicken Tenders 3 piece,260,2,12,660,25
Carls Jr,Chicken Tenders 5 piece,440,3,20,1100,41
Carls Jr,Natural Cut Fries Small,270,2,13,310,4
Carls Jr,Natural Cut Fries Medium,430,3,20,490,6
Carls Jr,Natural Cut Fries Large,530,4,25,610,7
Carls Jr,Bacon Egg Cheese Biscuit,510,13,29,1560,17
Carls Jr,Sausage Egg Cheese Biscuit,630,18,39,1530,22
Carls Jr,Vanilla Shake Small,540,10,16,280,13
Carls Jr,Chocolate Shake Small,590,11,17,310,14
