,Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!White alone,Margin of Error!!Total:!!White alone,Estimate!!Total:!!Black or African American alone,Margin of Error!!Total:!!Black or African American alone,Estimate!!Total:!!American Indian and Alaska Native alone,Margin of Error!!Total:!!American Indian and Alaska Native alone,Estimate!!Total:!!Asian alone,Margin of Error!!Total:!!Asian alone,Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Some Other Race alone,Margin of Error!!Total:!!Some Other Race alone,Estimate!!Total:!!Two or More Races:,Margin of Error!!Total:!!Two or More Races:,Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race,Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race,"Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",,ZIP,GEO_ID,median household income
0,860Z200US43001,ZCTA5 43001,2892,314,2703,325,2,3,1,3,18,22,0,13,9,13,159,98,60,61,99,58,,43001,860Z200US43001,93804
1,860Z200US43002,ZCTA5 43002,1205,524,1205,524,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,,43002,860Z200US43002,102153
2,860Z200US43003,ZCTA5 43003,3723,532,3552,519,39,56,0,13,0,13,0,13,4,7,128,67,11,17,117,67,,43003,860Z200US43003,69852
3,860Z200US43004,ZCTA5 43004,31477,2215,15110,1565,9254,1523,36,49,4931,1155,99,106,474,384,1573,442,621,266,952,357,,43004,860Z200US43004,101175
4,860Z200US43005,ZCTA5 43005,339,234,339,234,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,,43005,860Z200US43005,72910
5,860Z200US43006,ZCTA5 43006,701,251,652,229,0,13,0,13,0,13,0,13,3,6,46,96,0,13,46,96,,43006,860Z200US43006,63152
6,860Z200US43007,ZCTA5 43007,63,50,63,50,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,,43007,860Z200US43007,-
7,860Z200US43008,ZCTA5 43008,2434,76,2301,128,15,27,4,8,0,13,0,13,0,13,114,77,57,56,57,54,,43008,860Z200US43008,88558
8,860Z200US43009,ZCTA5 43009,2229,400,2177,388,0,13,0,13,0,13,0,13,11,16,41,58,0,13,41,58,,43009,860Z200US43009,102841
9,860Z200US43010,ZCTA5 43010,305,124,298,124,0,13,0,13,0,13,0,13,0,13,7,9,0,13,7,9,,43010,860Z200US43010,68500
10,860Z200US43011,ZCTA5 43011,6594,681,6231,713,4,7,3,5,0,18,0,18,106,145,250,132,131,122,119,62,,43011,860Z200US43011,90121
11,860Z200US43013,ZCTA5 43013,1754,757,1743,758,0,13,2,6,0,13,0,13,0,13,9,11,0,13,9,11,,43013,860Z200US43013,131528
12,860Z200US43014,ZCTA5 43014,3738,383,3606,389,0,13,0,13,15,29,0,13,0,13,117,73,0,13,117,73,,43014,860Z200US43014,66481
13,860Z200US43015,ZCTA5 43015,61401,1436,50467,1633,2607,510,45,45,2961,705,13,23,457,184,4851,753,2661,668,2190,451,,43015,860Z200US43015,105322
14,860Z200US43016,ZCTA5 43016,46362,2010,30289,1861,2732,1152,231,302,9605,1520,0,27,832,391,2673,710,879,372,1794,614,,43016,860Z200US43016,109972
15,860Z200US43017,ZCTA5 43017,41613,2209,31481,1792,1462,406,95,97,4572,708,16,37,1485,923,2502,530,1253,398,1249,307,,43017,860Z200US43017,135922
16,860Z200US43018,ZCTA5 43018,286,190,248,179,0,13,0,13,0,13,0,13,38,62,0,13,0,13,0,13,,43018,860Z200US43018,110481
17,860Z200US43019,ZCTA5 43019,9445,923,9053,932,2,7,2,5,0,18,0,18,57,104,331,172,149,105,182,124,,43019,860Z200US43019,68104
18,860Z200US43021,ZCTA5 43021,14403,936,11810,863,569,220,19,13,619,241,0,20,66,64,1320,501,762,490,558,216,,43021,860Z200US43021,167941
19,860Z200US43022,ZCTA5 43022,3635,529,3298,494,99,107,0,13,86,39,0,13,52,35,100,52,38,30,62,40,,43022,860Z200US43022,94712
20,860Z200US43023,ZCTA5 43023,15688,975,14176,956,114,52,0,20,788,330,0,20,0,20,610,225,202,107,408,174,,43023,860Z200US43023,142852
21,860Z200US43025,ZCTA5 43025,5357,556,4972,546,100,103,0,18,25,40,0,18,155,133,105,45,28,25,77,44,,43025,860Z200US43025,87381
22,860Z200US43026,ZCTA5 43026,65238,2022,49546,2138,4122,985,164,138,4180,970,17,29,1418,566,5791,1215,2641,845,3150,1009,,43026,860Z200US43026,111440
23,860Z200US43027,ZCTA5 43027,185,275,185,275,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,,43027,860Z200US43027,-
24,860Z200US43028,ZCTA5 43028,7799,737,7090,787,144,163,0,18,188,188,0,18,0,18,377,203,342,204,35,42,,43028,860Z200US43028,91186
25,860Z200US43029,ZCTA5 43029,544,239,478,231,0,13,0,13,8,19,0,13,0,13,58,52,11,18,47,48,,43029,860Z200US43029,107744
26,860Z200US43030,ZCTA5 43030,249,153,212,149,0,13,0,13,0,13,0,13,0,13,37,56,37,56,0,13,,43030,860Z200US43030,213021
27,860Z200US43031,ZCTA5 43031,13876,701,12823,855,60,62,0,20,72,48,0,20,129,103,792,315,397,267,395,176,,43031,860Z200US43031,110930
28,860Z200US43032,ZCTA5 43032,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,,43032,860Z200US43032,-
29,860Z200US43033,ZCTA5 43033,387,124,349,115,0,13,0,13,2,4,0,13,9,15,27,24,10,15,17,19,,43033,860Z200US43033,75833
30,860Z200US43035,ZCTA5 43035,36012,1332,23252,1500,2880,762,41,35,7115,976,0,27,353,193,2371,859,1003,673,1368,455,,43035,860Z200US43035,154683
31,860Z200US43036,ZCTA5 43036,359,119,336,119,0,13,0,13,0,13,0,13,0,13,23,22,7,12,16,19,,43036,860Z200US43036,77813
32,860Z200US43037,ZCTA5 43037,293,182,278,168,13,23,0,13,0,13,0,13,0,13,2,4,0,13,2,4,,43037,860Z200US43037,69625
33,860Z200US43040,ZCTA5 43040,38990,586,34126,819,890,255,74,39,463,156,0,27,617,203,2820,525,1119,292,1701,434,,43040,860Z200US43040,99321
34,860Z200US43044,ZCTA5 43044,4964,421,4702,418,75,56,18,17,13,18,0,13,52,44,104,63,23,41,81,48,,43044,860Z200US43044,76397
